,mean,hdi_3%,hdi_97%,ess_bulk,r_hat
phi,1.2917765148074556,1.2049904110016132,1.3777591972808558,9182.361520207744,1.0004022332784428
beta_p,0.048786803832019866,-0.029933175802283253,0.1347269493596052,12773.920295642847,0.9999717998403878
beta_s,0.004727985275697826,-0.06094341218324217,0.0655115327203248,15638.701014282551,1.000097435393214
beta_pop,-0.027901849552570242,-0.12335146496499647,0.06354362105781626,9804.407021422807,1.001224656334774
beta_urb,0.04050959210867977,-0.03951519802426051,0.11512733709825232,11302.453794037769,1.0000422687407933
beta_hlth,0.01574883459091031,-0.07180528795779045,0.105728961269705,10997.712461197196,1.0002774844751126
beta_eth,-0.02585480075383258,-0.09830960102364898,0.04471987019026628,13080.948480936248,0.9999340722876293
mu_a,-0.12771478835860048,-0.2220911193796065,-0.03551457469239915,7799.8070797971895,1.000453114240379
sigma_region,0.07075032499690127,2.912536125302821e-05,0.17512154941993716,3144.670411988787,1.00126686220199
sigma_country,0.061931987298386816,1.0217320401263667e-05,0.14214363578387929,3933.8130387241235,1.000636336592972
sigma_y,0.3448835370785575,0.29889470987527084,0.39473753967797176,11630.074870116263,1.0008733005977142
