term,coef,se,t,ci_low,ci_high,spec
const,-33.79728967551427,16.4819282139205,-2.0505664893607145,-66.70452110315416,-0.8900582478743786,TWFE / Driscoll-Kraay
p_score_mean,-0.003250083958619022,0.001330693015667115,-2.4423995018788465,-0.005906898286248334,-0.0005932696309897097,TWFE / Driscoll-Kraay
stringency_mean,0.0032547013265222034,0.000838102689784441,3.8834159181129806,0.0015813753166703617,0.004928027336374045,TWFE / Driscoll-Kraay
log_pop,0.1304593434478227,1.0969069957275637,0.1189338238847595,-2.0595861351217057,2.320504822017351,TWFE / Driscoll-Kraay
urban_pct,4.118079584869696e-05,0.00966278321321942,0.004261794447831397,-0.019251188355714884,0.01933354994741228,TWFE / Driscoll-Kraay
health_exp_gdp,-0.053914235285488527,0.029153820671161054,-1.8493025628994302,-0.11212171631404508,0.004293245743068025,TWFE / Driscoll-Kraay
log_gdp_pc,2.9610547743584834,0.16720906853994644,17.708697262738976,2.627211097585468,3.2948984511314987,TWFE / Driscoll-Kraay
const,-33.79728967551427,102.34998836860416,-0.3302129312784718,-238.14563473245224,170.5510553814237,TWFE / cluster-by-country
p_score_mean,-0.003250083958619022,0.0047576546171546556,-0.6831273432292053,-0.012749047884894187,0.006248879967656143,TWFE / cluster-by-country
stringency_mean,0.0032547013265222034,0.00868402727378544,0.37479169789657424,-0.014083518541529245,0.020592921194573652,TWFE / cluster-by-country
log_pop,0.1304593434478227,5.355524356986496,0.024359770351456485,-10.562190032543871,10.823108719439517,TWFE / cluster-by-country
urban_pct,4.118079584869696e-05,0.13622675121964262,0.0003022959549427989,-0.27194430359875815,0.27202666519045554,TWFE / cluster-by-country
health_exp_gdp,-0.053914235285488527,0.09116357032021606,-0.5914010947148339,-0.2359281760914889,0.12809970552051184,TWFE / cluster-by-country
log_gdp_pc,2.9610547743584834,2.550981810610775,1.1607510339909188,-2.132144742101534,8.0542542908185,TWFE / cluster-by-country
const,-33.79728967551427,76.81064951278664,-0.44000786205938863,-187.15469948936075,119.56012013833222,TWFE / heteroskedastic-robust
p_score_mean,-0.003250083958619022,0.004448678026936861,-0.7305729789703096,-0.012132156218576131,0.005631988301338087,TWFE / heteroskedastic-robust
stringency_mean,0.0032547013265222034,0.006520758335423217,0.49912926673596214,-0.009764412750570491,0.0162738154036149,TWFE / heteroskedastic-robust
log_pop,0.1304593434478227,4.060249170369214,0.032130871277527916,-7.976089682191991,8.237008369087636,TWFE / heteroskedastic-robust
urban_pct,4.118079584869696e-05,0.10485625645425535,0.000392735705443218,-0.20931108994525618,0.20939345153695357,TWFE / heteroskedastic-robust
health_exp_gdp,-0.053914235285488527,0.07337403767031787,-0.7347862676950453,-0.20041022817291174,0.09258175760193468,TWFE / heteroskedastic-robust
log_gdp_pc,2.9610547743584834,1.899342861479803,1.5589890769123627,-0.8311056022631598,6.753215150980127,TWFE / heteroskedastic-robust
